(mastersThesis) lexie@lexie:~/Desktop/mastersThesis/notebooks/brats23/a2/swinUNETR$ python inference.py 
<frozen importlib._bootstrap_external>:1301: FutureWarning: The cuda.cudart module is deprecated and will be removed in a future release, please switch to use the cuda.bindings.runtime module instead.
======================================================================
Swin UNETR Inference — BraTS 2023
======================================================================
Checkpoint : ./checkpoints/best_model.pth
Data JSON  : ../val_list.json
Device     : cuda
Save preds : False
======================================================================

Loaded checkpoint from epoch 80
  Validation Dice at save — ET: 0.8793  TC: 0.9041  WT: 0.9274  Avg: 0.9036

Model parameters: 62,191,941
Samples to evaluate: 251

Inference:   0%|                                                                                                                                                | 0/251 [00:00<?, ?it/s]monai.metrics.utils get_mask_edges:always_return_as_numpy: Argument `always_return_as_numpy` has been deprecated since version 1.5.0. It will be removed in version 1.7.0. The option is removed and the return type will always be equal to the input type.
Inference:   2%|██▋                                                                                                                                     | 5/251 [00:18<15:01,  3.67s/it]the ground truth of class 0 is all 0, this may result in nan/inf distance.
Inference:  16%|█████████████████████▌                                                                                                                 | 40/251 [02:25<12:36,  3.59s/it]the ground truth of class 1 is all 0, this may result in nan/inf distance.
Inference: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 251/251 [15:10<00:00,  3.63s/it]

======================================================================
Results
======================================================================
                               Dice      HD95
  -------------------------------------------
  ET (Enhancing Tumor)       0.8793      3.92
  TC (Tumor Core)            0.9041      4.74
  WT (Whole Tumor)           0.9274      6.55
  -------------------------------------------
  Average                    0.9036      5.07
======================================================================

Per-case breakdown:
   Idx      ET      TC      WT     Avg   HD95_ET   HD95_TC   HD95_WT   HD95_Avg
   110  0.1221  0.1260  0.9001  0.3828     26.00     26.00      2.24      18.08
   111  0.9817  0.9880  0.8740  0.9479      1.00      1.00     18.12       6.71
   112  0.9335  0.9750  0.9826  0.9637      2.45      1.00      1.00       1.48
   113  0.9400  0.9090  0.9544  0.9345      3.32     11.36      7.28       7.32
   114  0.9670  0.9810  0.9672  0.9717      1.00      1.00      1.41       1.14
   115  0.7294  0.8530  0.9412  0.8412      3.61      3.74      3.74       3.70
   116  0.9508  0.9724  0.9468  0.9567      1.00      1.00      2.00       1.33
   117  0.9026  0.9131  0.9483  0.9214      2.24      2.24      5.75       3.41
   118  0.9586  0.9727  0.9325  0.9546      1.00      1.00      2.45       1.48
   119  0.9073  0.9563  0.9673  0.9436      1.41      1.73      2.00       1.72
   120  0.9594  0.9752  0.9669  0.9672      1.00      1.00      2.00       1.33
   121  0.9552  0.9663  0.9766  0.9661      1.00      1.00      1.00       1.00
   122  0.8980  0.9346  0.9512  0.9279      3.00      5.48      7.07       5.18
   123  0.8586  0.8899  0.9316  0.8934      2.24      2.83      2.00       2.35
   124  0.7648  0.7907  0.9276  0.8277      7.28      9.85     43.34      20.15
   125  0.9529  0.9703  0.9602  0.9611      1.41      1.41      1.41       1.41
   126  0.9581  0.9465  0.9724  0.9590      1.41      2.83      1.00       1.75
   127  0.9619  0.9789  0.9796  0.9735      1.41      1.73      1.00       1.38
   128  0.9692  0.9870  0.9803  0.9788      1.00      1.00      1.00       1.00
   129  0.9725  0.9760  0.9755  0.9747      1.00      1.00      1.00       1.00
   130  0.8717  0.8680  0.9288  0.8895      2.24     20.35      4.47       9.02
   131  0.5247  0.6104  0.9319  0.6890     30.56     12.85      5.10      16.17
   132  0.8906  0.3211  0.8737  0.6951      1.41     21.47      4.12       9.00
   133  0.9403  0.9681  0.9523  0.9536      1.41      1.41      3.74       2.19
   134  0.9405  0.9732  0.9427  0.9521      1.00      1.00      2.00       1.33
   135  0.9520  0.9712  0.9324  0.9519      1.00      1.00     11.56       4.52
   136  0.9461  0.9700  0.9555  0.9572      1.00      2.00      2.24       1.75
   137  0.9486  0.9827  0.9656  0.9656      1.00      1.00      1.00       1.00
   138  0.9737  0.9699  0.9637  0.9691      1.00      1.00      1.41       1.14
   139  0.7901  0.8475  0.8601  0.8326      1.73      6.40      5.74       4.63
   140  0.9108  0.9438  0.9509  0.9352      2.24      4.00      2.83       3.02
   141  0.9616  0.9803  0.9683  0.9701      1.00      1.00      1.73       1.24
   142  0.9793  0.9773  0.9527  0.9698      1.41      4.69      2.45       2.85
   143  0.8578  0.9310  0.9365  0.9084      2.24      2.45      3.00       2.56
   144  0.9737  0.9753  0.9762  0.9751      1.00      1.00      1.00       1.00
   145  0.9087  0.9742  0.9714  0.9514      1.00      1.00      1.00       1.00
   146  0.9323  0.9653  0.9891  0.9622      1.41      1.00      1.00       1.14
   147  0.9529  0.9857  0.9531  0.9639      1.00      1.00      3.00       1.67
   148  0.8789  0.8793  0.8420  0.8667     40.42     41.62      4.90      28.98
   149  0.9519  0.9799  0.9363  0.9561      1.00      1.00      5.20       2.40
   150  0.9691  0.9792  0.9756  0.9746      1.00      1.00      1.00       1.00
   151  0.9472  0.9675  0.9678  0.9608      1.00      1.00      1.41       1.14
   152  0.9565  0.9756  0.9466  0.9596      1.00      1.00      3.00       1.67
   153  0.9538  0.9769  0.9682  0.9663      1.00      1.00      1.00       1.00
   154  0.8367  0.9307  0.9413  0.9029      2.45      3.00      2.45       2.63
   155  0.8795  0.9464  0.8672  0.8977      1.41      1.41      3.74       2.19
   156  0.0000  0.7616  0.9542  0.5719      0.00     22.48      3.00       8.49
   157  0.9673  0.9653  0.9695  0.9674      1.00      1.41      4.58       2.33
   158  0.0811  0.7869  0.9411  0.6030     22.21      7.14      3.00      10.79
   159  0.9417  0.9823  0.9697  0.9646      1.00      1.00      1.41       1.14
   160  0.8290  0.8769  0.9303  0.8787      2.00      4.47      2.45       2.97
   161  0.8910  0.9559  0.9496  0.9322      2.00      2.83      6.16       3.66
   162  0.8824  0.9079  0.9037  0.8980      3.74      3.00      2.24       2.99
   163  0.8566  0.8877  0.9370  0.8937      3.61      4.00      3.00       3.54
   164  0.8298  0.8455  0.8367  0.8373      3.52      3.74     28.48      11.91
   165  0.7002  0.8618  0.8261  0.7961      4.12      2.00      5.10       3.74
   166  0.9343  0.9466  0.9520  0.9443      1.73      3.61      2.24       2.52
   167  0.7880  0.8780  0.9836  0.8832      3.16     10.63      1.00       4.93
   168  0.5126  0.4827  0.9109  0.6354      5.87      6.40      8.00       6.76
   169  0.9433  0.9717  0.9566  0.9572      1.00      1.00      7.35       3.12
   170  0.9273  0.9484  0.9118  0.9292      1.41      1.73     25.35       9.50
   171  0.8462  0.8801  0.8664  0.8643     15.81      7.07      4.60       9.16
   172  0.9540  0.9664  0.9624  0.9609      1.00      1.00      1.00       1.00
   173  0.8692  0.9188  0.2057  0.6646      1.41      1.00     41.24      14.55
   174  0.9718  0.9699  0.9762  0.9726      1.41      1.00      1.00       1.14
   175  0.9409  0.9785  0.9342  0.9512      1.00      1.00      3.00       1.67
   176  0.9616  0.9743  0.9850  0.9736      1.00      2.24      1.00       1.41
   177  0.9640  0.9848  0.9775  0.9754      1.00      1.41      2.00       1.47
   178  0.9551  0.9600  0.9367  0.9506      1.00      1.41      3.46       1.96
   179  0.9035  0.9497  0.9657  0.9396      2.00      2.00      1.00       1.67
   180  0.8579  0.8550  0.8668  0.8599      4.12      6.93      8.06       6.37
   181  0.9522  0.9463  0.9643  0.9543      1.00      1.00      1.41       1.14
   182  0.9537  0.9549  0.9759  0.9615      1.00      2.24      1.00       1.41
   183  0.9217  0.9688  0.9602  0.9502      1.41      1.41      2.00       1.61
   184  0.8215  0.8851  0.9684  0.8917      2.45      2.45      1.41       2.10
   185  0.7161  0.2005  0.9457  0.6208     23.00     31.16     47.73      33.96
   186  0.9603  0.9677  0.7841  0.9040     28.55     29.15     45.19      34.30
   187  0.9621  0.9460  0.9655  0.9578      1.00      1.41      1.41       1.28
   188  0.3147  0.0348  0.5078  0.2857     82.90     75.33     71.16      76.46
   189  0.8097  0.8915  0.7451  0.8154      3.16      3.37     70.80      25.78
   190  0.9628  0.9854  0.9520  0.9667      3.74      1.00      2.24       2.33
   191  0.8573  0.9642  0.9409  0.9208      1.41      1.41      2.00       1.61
   192  0.8814  0.9285  0.9354  0.9151      1.41      3.00      2.00       2.14
   193  0.0290  0.7380  0.9796  0.5822     22.96     10.44      8.31      13.90
   194  0.7651  0.5551  0.9643  0.7615     13.19      7.47     10.20      10.29
   195  0.9566  0.9479  0.9833  0.9626      1.00      4.58      1.00       2.19
   196  0.9334  0.9653  0.9466  0.9484      1.00      1.41      1.41       1.28
   197  0.9116  0.9738  0.9777  0.9544      3.00      1.41      1.73       2.05
   198  0.9863  0.9941  0.9865  0.9890      1.00      1.00      1.00       1.00
   199  0.9182  0.9637  0.9880  0.9566      1.00      1.41      1.00       1.14
   200  0.9530  0.9465  0.9530  0.9508      1.00      1.41      1.41       1.28
   201  0.9412  0.9657  0.9580  0.9550      1.41      3.00      1.41       1.94
   202  0.9602  0.9825  0.9756  0.9728      1.00      1.00      3.61       1.87
   203  0.8452  0.9445  0.9421  0.9106      1.41      1.41      3.74       2.19
   204  0.8888  0.9349  0.9612  0.9283      3.00      4.12      1.41       2.85
   205  0.8628  0.9472  0.9733  0.9278      1.00      2.83      1.73       1.85
   206  0.9813  0.9911  0.9881  0.9868      1.00      1.00      1.00       1.00
   207  0.8904  0.9637  0.9296  0.9279      1.73      1.41      2.45       1.87
   208  0.9656  0.9809  0.9692  0.9719      1.00      1.00      1.41       1.14
   209  0.6673  0.8837  0.9592  0.8367     15.99      5.39      3.00       8.12
   210  0.8444  0.8865  0.9191  0.8833      3.00      6.16     11.79       6.98
   211  0.8914  0.9474  0.9508  0.9298      2.45      1.41      1.41       1.76
   212  0.9351  0.9635  0.9708  0.9565      1.41      1.41      1.41       1.41
   213  0.9551  0.9843  0.9861  0.9751      1.00      1.73      1.00       1.24
   214  0.9582  0.9775  0.9753  0.9704      1.00      1.00      1.00       1.00
   215  0.8933  0.9762  0.9606  0.9434      2.00      1.00      1.41       1.47
   216  0.9537  0.9649  0.9772  0.9653      1.00      2.00      1.41       1.47
   217  0.9754  0.9737  0.8201  0.9231      1.00      2.00      8.06       3.69
   218  0.9696  0.9842  0.9635  0.9724      1.00      1.00      1.00       1.00
   219  0.9741  0.9851  0.9777  0.9789      1.00      1.00      1.00       1.00
   220  0.7991  0.9268  0.8967  0.8742      1.73      2.24      5.39       3.12
   221  0.9223  0.9639  0.9599  0.9487      2.83      1.41      4.58       2.94
   222  0.8743  0.8030  0.9513  0.8762      1.73      8.54      2.00       4.09
   223  0.9296  0.9518  0.9411  0.9409      2.00      1.00      2.45       1.82
   224  0.8372  0.9163  0.7515  0.8350      1.41      1.73     25.42       9.52
   225  0.9720  0.9648  0.9537  0.9635      1.00      1.73      1.73       1.49
   226  0.8748  0.9022  0.9281  0.9017      1.00      1.00     30.69      10.90
   227  0.8372  0.9229  0.9715  0.9105      3.61      4.24      1.41       3.09
   228  0.9639  0.9756  0.9553  0.9649      1.00      1.00      4.24       2.08
   229  0.7849  0.8248  0.8202  0.8100      8.00      8.09      5.10       7.06
   230  0.8840  0.6970  0.9177  0.8329      4.00      9.11      9.43       7.51
   231  0.9701  0.9836  0.9852  0.9796      1.41      1.00      1.00       1.14
   232  0.8879  0.9154  0.8594  0.8876      2.24      1.41      3.00       2.22
   233  0.9760  0.9699  0.9707  0.9722      1.00      1.00      1.00       1.00
   234  0.9205  0.9757  0.9432  0.9464      1.41      1.00      2.45       1.62
   235  0.9504  0.9762  0.9847  0.9704      1.41      1.00      1.00       1.14
   236  0.9833  0.9845  0.9189  0.9622      1.00      1.00     10.20       4.07
   237  0.9688  0.9792  0.9781  0.9753      1.00      1.00      3.32       1.77
   238  0.8070  0.9089  0.9012  0.8724      1.41      2.83      2.83       2.36
   239  0.9751  0.9886  0.9694  0.9777      1.00      1.00      1.41       1.14
   240  0.8962  0.8893  0.8886  0.8913     18.95     20.62      5.31      14.96
   241  0.7430  0.6862  0.6795  0.7029      4.24      4.53      5.10       4.62
   242  0.9563  0.9653  0.9814  0.9677      1.00      3.61      1.00       1.87
   243  0.9715  0.9776  0.9809  0.9767      1.00      1.41      1.00       1.14
   244  0.9674  0.9784  0.9742  0.9734      1.00      2.00      1.41       1.47
   245  0.9604  0.9884  0.9834  0.9774      1.00      1.00      1.00       1.00
   246  0.8301  0.9348  0.9095  0.8915      2.24      1.73      2.83       2.27
   247  0.9113  0.9553  0.9636  0.9434      1.73      2.24      1.73       1.90
   248  0.9735  0.9897  0.9814  0.9815      1.00      1.00      1.00       1.00
   249  0.9665  0.9796  0.9791  0.9750      1.00      1.00      1.00       1.00
   250  0.7269  0.2031  0.9578  0.6293     35.85     34.01      4.00      24.62

Results saved to: ./checkpoints/inference_results.json
